time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837188.49930120,0.01392655,0.01409385,-nan,76854.00000000,0.01634045,0.000000,0.000000
1577837188.59995198,0.01395631,0.01582007,-nan,77258.00000000,0.01821150,0.000000,0.000000
1577837188.69978285,0.01397364,0.01437116,-nan,77672.00000000,0.01646989,0.000000,0.000000
1577837188.79961610,0.01398520,0.01372525,-nan,77875.00000000,0.01566114,0.000000,0.000000
1577837188.89945912,0.01399057,0.01268189,-nan,78303.00000000,0.01477438,0.000000,0.000000
1577837188.99929810,0.01398753,0.01135568,-nan,78743.00000000,0.01354071,0.000000,0.000000
1577837189.09993076,0.01397344,0.01002617,-nan,79066.00000000,0.01188767,0.000000,0.000000
1577837189.19977021,0.01407454,0.01405938,-nan,79381.00000000,0.02913826,0.000000,0.000000
1577837189.29962587,0.01407104,0.01076496,-nan,79555.00000000,0.01354667,0.000000,0.000000
1577837189.39947605,0.01408059,0.01265002,-nan,79855.00000000,0.01552303,0.000000,0.000000
1577837189.49930286,0.01407085,0.01042562,-nan,80014.00000000,0.01258924,0.000000,0.000000
1577837189.59994507,0.01406526,0.01076105,-nan,80242.00000000,0.01321068,0.000000,0.000000
1577837189.69978905,0.01406252,0.01130758,-nan,80471.00000000,0.01364033,0.000000,0.000000
1577837189.79963279,0.01404400,0.00830479,-nan,80750.00000000,0.01117278,0.000000,0.000000
1577837189.89948106,0.01402354,0.00794049,-nan,80901.00000000,0.01083229,0.000000,0.000000
1577837189.99932790,0.01401091,0.00950482,-nan,81129.00000000,0.01202817,0.000000,0.000000
1577837190.09994793,0.01400177,0.00973357,-nan,81386.00000000,0.01255838,0.000000,0.000000
1577837190.19978118,0.01399726,0.01023215,-nan,81737.00000000,0.01327874,0.000000,0.000000
1577837190.29962492,0.01397643,0.00844875,-nan,81978.00000000,0.01064461,0.000000,0.000000
1577837190.39946008,0.01395717,0.00863749,-nan,82074.00000000,0.01085545,0.000000,0.000000
1577837190.49931502,0.01394185,0.00886254,-nan,82268.00000000,0.01145987,0.000000,0.000000
1577837190.59995914,0.01392281,0.00777800,-nan,82430.00000000,0.01082003,0.000000,0.000000
1577837190.69981003,0.01390417,0.00797931,-nan,82637.00000000,0.01084766,0.000000,0.000000
1577837190.79965305,0.01388969,0.00890160,-nan,82766.00000000,0.01150065,0.000000,0.000000
1577837190.89950490,0.01388148,0.00950712,-nan,82807.00000000,0.01251725,0.000000,0.000000
1577837190.99933004,0.01386480,0.00870791,-nan,82956.00000000,0.01108034,0.000000,0.000000
1577837191.09995699,0.01385474,0.00916154,-nan,83171.00000000,0.01216339,0.000000,0.000000
1577837191.19979501,0.01384814,0.01018812,-nan,83289.00000000,0.01273317,0.000000,0.000000
1577837191.29962301,0.01384225,0.01055406,-nan,83432.00000000,0.01284158,0.000000,0.000000
1577837191.39945602,0.01383041,0.00939755,-nan,83481.00000000,0.01180575,0.000000,0.000000
1577837191.49930596,0.01381719,0.00868304,-nan,83556.00000000,0.01154375,0.000000,0.000000
1577837191.59995198,0.01379808,0.00828096,-nan,83610.00000000,0.01049068,0.000000,0.000000
